doc_id,year,doc_name_short,doc_name
0,2000,Using Referential Communication to Study,Using Referential Communication to Study Mental Models
1,2000,Ungrammatical Influences Evidence for Dy,Ungrammatical Influences Evidence for Dynamical Language Processing
2,2000,Point-Light Displays Illuminate the Abst,Point-Light Displays Illuminate the Abstract Nature of Childrens Motion Verb Representations
3,2000,Are Retrievals from Long-Term Memory Int,Are Retrievals from Long-Term Memory Interruptible
4,2000,The Representational Effect in Complex S,The Representational Effect in Complex Systems A Distributed Representation Approach
5,2000,Addressing the Learnability of Verb Subc,Addressing the Learnability of Verb Subcategorization with Bayesian Inference
6,2000,Modeling infant learning via symbolic st,Modeling infant learning via symbolic structural alignment
7,2000,Visual and Spatial Representations in Re,Visual and Spatial Representations in Relational Reasoning
8,2000,Blobs Dipsy-Doodles and Other Funky Thin,Blobs Dipsy-Doodles and Other Funky Things Framework Anomalies in Exploratory Data Analysis
9,2000,Memory-Based Problem Solving and Schema ,Memory-Based Problem Solving and Schema Induction in Go
10,2000,The Prcis of Project Nemo Phase 2 Levels,The Prcis of Project Nemo Phase 2 Levels of Expertise
11,2000,Phrases as Carriers of Coherence Relatio,Phrases as Carriers of Coherence Relations
12,2000,Learning at Different Levels of Abstract,Learning at Different Levels of Abstraction
13,2000,From Dipsy-Doodle to Streaming Motions C,From Dipsy-Doodle to Streaming Motions Changes in Representation in the Analysis of Visual Scientific Data
14,2000,Problem Representation in Experts and No,Problem Representation in Experts and Novices Part 1 Differences in the Content of Representation
15,2000,A Connectionist Single-Mechanism Account,A Connectionist Single-Mechanism Account of Rule-Like Behavior in Infancy
16,2000,Babies Variables and Relational Correlat,Babies Variables and Relational Correlations
17,2000,Contextually Representing Abstract Conce,Contextually Representing Abstract Concepts with Abstract Structures
18,2000,Simulation of Self-affirmation Phenomena,Simulation of Self-affirmation Phenomena in Cognitive Dissonance
19,2000,Was Apatosaurus a Vegan Dinosaur Knowled,Was Apatosaurus a Vegan Dinosaur Knowledge Rocks When Learning About Evolution
20,2000,From Studying Examples to Solving Proble,From Studying Examples to Solving Problem Fading Worked-Out Solution Steps Helps Learning
21,2000,Syntactic Priming in German Sentence Pro,Syntactic Priming in German Sentence Production
22,2000,Reflective Introspective Reasoning Throu,Reflective Introspective Reasoning Through CBR
23,2000,Simulating Conditional Reasoning Contain,Simulating Conditional Reasoning Containing Negations A Computer Model and Human Data
24,2000,Evidence for the Processing of Re-repres,Evidence for the Processing of Re-representations during the mapping of Externally Represented analogies
25,2000,Seeking coherent explanations -- a fusio,Seeking coherent explanations -- a fusion of structured connectionism temporal synchrony and evident reasoning
26,2000,A Computational Level Theory of Similari,A Computational Level Theory of Similarity
27,2000,Hypertext Navigation and Conflicting Goa,Hypertext Navigation and Conflicting Goal Intentions Using Log Files to Study Distraction and Volitional Protection in Learning and Problem Solving
28,2000,A Constructive Dual-Representation Model,A Constructive Dual-Representation Model of Verb Inflection
29,2000,Making Inferences and Classifications Us,Making Inferences and Classifications Using Categories That Are Not Linearly Separable
30,2000,Hypothesis-Testing Method in a Community,Hypothesis-Testing Method in a Community of Psychologists
31,2000,Sex Syntax and Semantics,Sex Syntax and Semantics
32,2000,Category Induction for Ordinary Facts,Category Induction for Ordinary Facts
33,2000,Memory for Continually Changing Informat,Memory for Continually Changing Information A Task Analysis and Model of the Keeping Track Task
34,2000,Now They See the Point Improving Science,Now They See the Point Improving Science Reasoning Through Making Predictions
35,2000,Talking Through Graphics An Empirical St,Talking Through Graphics An Empirical Study of the Sequential Integration of Modalities
36,2000,Resource-adaptive Selection of Strategie,Resource-adaptive Selection of Strategies in Learning from Worked-Out Examples
37,2000,The Acquisition of Lexical and Grammatic,The Acquisition of Lexical and Grammatical Aspect in Self-Organizing Feature-Map Model
38,2000,Rules versus Statistic in Biconditional ,Rules versus Statistic in Biconditional Grammar Learning A Simulation on Shanks et al (1997)
39,2000,Aspectual Coercion and the Online Comput,Aspectual Coercion and the Online Computation of Sentential Aspect
40,2000,Hemispheric Specialization During Episod,Hemispheric Specialization During Episodic Memory Encoding in the Human Hippocampus and MTL
41,2000,A Six-Unit Network is All You Need to Di,A Six-Unit Network is All You Need to Discover Happiness
42,2000,Problem Representation in Experts and No,Problem Representation in Experts and Novices Part 2 Underlying Processing Mechanisms
43,2000,Temporal Progression of the Cortical Pot,Temporal Progression of the Cortical Potential Distribution for the AEP P300 Component in Mild Traumatic Brain Injury
44,2000,Heterogeneous reasoning in learning to m,Heterogeneous reasoning in learning to model
45,2000,Are Structural Principles Useful for Aut,Are Structural Principles Useful for Automatic Disambiguation
46,2000,Effects of Presentation Format on Memory,Effects of Presentation Format on Memory for Order
47,2000,Fast and Frugal Use of Cue Direction in ,Fast and Frugal Use of Cue Direction in States of Limited Knowledge
48,2000,Induction of Casual Chains,Induction of Casual Chains
49,2000,Evaluating Competition-based Models of W,Evaluating Competition-based Models of Word Order
50,2000,Motivation in Insight versus Incremental,Motivation in Insight versus Incremental Problem Solving
51,2000,Toward an Integrated Account of Reflexiv,Toward an Integrated Account of Reflexive Reasoning
52,2000,The Problem with Logic in the Logical Pr,The Problem with Logic in the Logical Problem of Language Acquisition
53,2000,Transfer Along a Continuum Differentiati,Transfer Along a Continuum Differentiation or Association
54,2000,Practices of Questioning and Explaining ,Practices of Questioning and Explaining in Learning to Model
55,2000,A Dynamic Field Model of Location Memory,A Dynamic Field Model of Location Memory
