Model, Year, LL, SE
lda_all, 2, -10501.490691, 262.310634
lda_all, 5, -11270.081142, 128.567562
lda_all, 8, -9963.175840, 271.196952
lda_all, 11, -7799.798923, 185.279656
lda_all, 14, -11335.378193, 85.108421
lda_all, 17, -10403.611435, 139.827035
lda_prev, 2, -11610.569129, 298.912822
lda_prev, 5, -12417.459633, 148.768526
lda_prev, 8, -10925.234330, 305.585400
lda_prev, 11, -8085.745750, 193.155438
lda_prev, 14, -11547.092114, 87.351076
lda_prev, 17, -10750.352357, 145.218924
dtm, 2, -10582.837825, 264.254499
dtm, 5, -11344.176838, 129.193482
dtm, 8, -10011.879609, 272.308358
dtm, 11, -7823.395322, 185.929559
dtm, 14, -11364.134324, 85.338744
dtm, 17, -10440.206069, 140.300184
