topic,topic_label
0,Sequential learning
1,Face and emotion perception
2,Reasoning
3,Text processing and creativity
4,Mathematical Psychology
5,Decision making
6,Language: syntax
7,Causal reasoning
8,Knowledge structure
9,Developmental psychology
10,Spatial cognition and embodied cognition
11,Memory
12,Categorization
13,Language: semantics
14,Educational psychology
15,Artificial network and Neuroscience
16,non-verbal communication
17,Probabilistic modeling
18,Consciousness and identity
19,Visual attention
