Model, Year, LL, SE
lda_all, 2, -11185.039967, 141.285341
lda_all, 3, -11539.173431, 131.967713
lda_all, 4, -11577.971391, 121.103053
lda_all, 5, -11440.421968, 110.764941
lda_all, 6, -11679.079526, 96.359590
lda_all, 7, -11563.184859, 101.947249
lda_all, 8, -11278.902534, 169.633925
lda_all, 9, -11114.204130, 99.864002
lda_all, 10, -11407.248603, 85.717041
lda_all, 11, -11284.274504, 91.652540
lda_all, 12, -11441.119750, 85.602578
lda_all, 13, -10820.505994, 95.256521
lda_all, 14, -11349.867769, 82.027387
lda_all, 15, -11548.698070, 63.402866
lda_all, 16, -11432.142853, 73.123109
lda_all, 17, -11479.264882, 64.177858
lda_prev, 2, -11211.323908, 140.496054
lda_prev, 3, -11499.630336, 130.025830
lda_prev, 4, -11663.395854, 119.520673
lda_prev, 5, -11584.756225, 111.528587
lda_prev, 6, -11864.524409, 97.824798
lda_prev, 7, -11710.671806, 103.071509
lda_prev, 8, -11476.136179, 173.082699
lda_prev, 9, -11274.960650, 100.814968
lda_prev, 10, -11579.251585, 87.192389
lda_prev, 11, -11481.792772, 93.447408
lda_prev, 12, -11619.027626, 87.384355
lda_prev, 13, -11055.083327, 97.645046
lda_prev, 14, -11502.717372, 82.856242
lda_prev, 15, -11715.944890, 64.518204
lda_prev, 16, -11647.679299, 74.557477
lda_prev, 17, -11704.035333, 65.735559
dtm, 2, -11312.824454, 141.763719
dtm, 3, -11627.259799, 132.780496
dtm, 4, -11654.351026, 121.696618
dtm, 5, -11510.950816, 111.173233
dtm, 6, -11734.965415, 96.966812
dtm, 7, -11609.710430, 102.355684
dtm, 8, -11313.095026, 169.798595
dtm, 9, -11153.222850, 100.212979
dtm, 10, -11435.563476, 85.649561
dtm, 11, -11313.630903, 92.066931
dtm, 12, -11473.831850, 86.022398
dtm, 13, -10845.236568, 95.553378
dtm, 14, -11372.367463, 82.039481
dtm, 15, -11566.833732, 63.504238
dtm, 16, -11456.780377, 73.319970
dtm, 17, -11483.989180, 64.105375
