year,word,frequency,topic
2000,spatial,0.01679641861569627,0
2001,spatial,0.01767106287414291,0
2002,spatial,0.019055053361793618,0
2003,spatial,0.020955070114016296,0
2004,spatial,0.023329893135532312,0
2005,spatial,0.02609300808402537,0
2006,spatial,0.02949536623398305,0
2007,spatial,0.03320329306678172,0
2008,spatial,0.036031302966864374,0
2009,spatial,0.03863224325805951,0
2010,spatial,0.0415177448227346,0
2011,spatial,0.043053290354144486,0
2012,spatial,0.04127961128442963,0
2013,spatial,0.03963847168089697,0
2014,spatial,0.03823219969822442,0
2015,spatial,0.03685141918459822,0
2016,spatial,0.03750279452286403,0
2017,spatial,0.03820663131271724,0
2000,object,0.031269284223096,0
2001,object,0.03166387906347746,0
2002,object,0.03225136526445102,0
2003,object,0.03394989006381164,0
2004,object,0.03872656158146323,0
2005,object,0.046394884611056134,0
2006,object,0.05344693808056898,0
2007,object,0.058732762522263254,0
2008,object,0.05875081144830813,0
2009,object,0.052200335030916006,0
2010,object,0.04059540794116143,0
2011,object,0.0280756654184435,0
2012,object,0.019046429291689745,0
2013,object,0.013334188431007648,0
2014,object,0.009743547684524689,0
2015,object,0.007431209116097072,0
2016,object,0.006041441520402504,0
2017,object,0.005318590133045663,0
2000,gesture,0.005359933673469961,0
2001,gesture,0.0058227564757253585,0
2002,gesture,0.006629729777409008,0
2003,gesture,0.007846091846544102,0
2004,gesture,0.00962873441573655,0
2005,gesture,0.011781187054851653,0
2006,gesture,0.01401218468956809,0
2007,gesture,0.01592469386910027,0
2008,gesture,0.017452113980293553,0
2009,gesture,0.018702166267494245,0
2010,gesture,0.020398679807298054,0
2011,gesture,0.02400965393541038,0
2012,gesture,0.02915665844489233,0
2013,gesture,0.03355721705496832,0
2014,gesture,0.03803729137555736,0
2015,gesture,0.04127881274456339,0
2016,gesture,0.042652083179110664,0
2017,gesture,0.04204098353093248,0
2000,space,0.005445118185495554,0
2001,space,0.00556546252872196,0
2002,space,0.005719133143388859,0
2003,space,0.0058557892278887245,0
2004,space,0.005997710929996863,0
2005,space,0.00623281808657919,0
2006,space,0.006537947652860327,0
2007,space,0.007055913791313744,0
2008,space,0.007729067354334463,0
2009,space,0.0086066442202278,0
2010,space,0.009710830169890121,0
2011,space,0.010941195943605582,0
2012,space,0.011787861031074785,0
2013,space,0.012407132166876975,0
2014,space,0.012354160361156729,0
2015,space,0.01200311472169414,0
2016,space,0.011878815576359735,0
2017,space,0.011741217729000802,0
2000,drawing,0.011951573340854922,0
2001,drawing,0.013112108338460809,0
2002,drawing,0.014029197136759203,0
2003,drawing,0.014092285310319893,0
2004,drawing,0.012670105763063799,0
2005,drawing,0.010289931874314963,0
2006,drawing,0.008763417859708115,0
2007,drawing,0.007974784247114577,0
2008,drawing,0.007494213685101526,0
2009,drawing,0.007134389763516319,0
2010,drawing,0.0065097672006852415,0
2011,drawing,0.005834172850648929,0
2012,drawing,0.005111649415973181,0
2013,drawing,0.0043294332850535655,0
2014,drawing,0.0036840756530230456,0
2015,drawing,0.003162479380036162,0
2016,drawing,0.0028443364759316984,0
2017,drawing,0.002698076194490722,0
2000,motion,0.008882966090841457,0
2001,motion,0.009341276464657097,0
2002,motion,0.009889418800824355,0
2003,motion,0.010183731933494533,0
2004,motion,0.010184716792875045,0
2005,motion,0.010570752857051762,0
2006,motion,0.011403957055144116,0
2007,motion,0.011523029450924416,0
2008,motion,0.01072370334053212,0
2009,motion,0.008947283484291484,0
2010,motion,0.007255399763223667,0
2011,motion,0.00553698201470691,0
2012,motion,0.004197817216827431,0
2013,motion,0.00332811069232707,0
2014,motion,0.0028999944813848525,0
2015,motion,0.002713296364148623,0
2016,motion,0.002596732866998524,0
2017,motion,0.002560567327429197,0
2000,relation,0.009688302269193058,0
2001,relation,0.00961924603445237,0
2002,relation,0.009457134806885694,0
2003,relation,0.009406174245252776,0
2004,relation,0.009364889942818996,0
2005,relation,0.008798542728127119,0
2006,relation,0.008081743658121136,0
2007,relation,0.007302777957791956,0
2008,relation,0.006646161021700725,0
2009,relation,0.006104241778186579,0
2010,relation,0.00569439306213336,0
2011,relation,0.005417447251297365,0
2012,relation,0.005367254622300651,0
2013,relation,0.005550383258036844,0
2014,relation,0.005884435850070618,0
2015,relation,0.006191733767655527,0
2016,relation,0.006101185497469538,0
2017,relation,0.005912004173693379,0
2000,description,0.009392375221146205,0
2001,description,0.009765065596820357,0
2002,description,0.010400357560795211,0
2003,description,0.01077080592969808,0
2004,description,0.011045756466861551,0
2005,description,0.011208189128577989,0
